ID,Binomial,Genus,Species,Height.actual..m.,Latitude,Longitude,Altitude..m.,MATbest,PPTbest,taxon,Height.max..m.,P50..MPa.,P12..MPa.,P88..MPa.,Slope,Ks..kg.m.1.MPa.1.s.1.,KL..kg.m.1.MPa.1.s.1.,Huber.value,SLA..cm2.g.1.
1603,Eucalyptus populnea,Eucalyptus,populnea,NA,NA,NA,NA,18.8,370.6,Eucalyptus_populnea,31.20525,-5.64,-3.53,-7.7,23.375890626411028,1.7112536378029308,1.5923992349523882e-4,3.035228127000002e-4,28.586139936336632
1621,Ficus tikoua,Ficus,tikoua,NA,26.4333333333333,106.683333333333,1147,15.605,1081.44,Ficus_tikoua,20.657356,-1.57576143099983,-0.9708869724637963,-2.2560124488466484,62.605891167178925,4.871365266879435,0.0010970198204480934,1.5002492934714277e-4,107.3557653922943
1604,Glycine max,Glycine,max,NA,NA,NA,NA,NA,NA,Glycine_max,13.286691000000001,-1.8458310867489645,-0.7733964299996365,-3.941886139788594,20.190578211384157,2.137562150895168,3.1257154239642865e-4,4.7884082631515743e-4,72.32816790073768
1622,Helianthus annuus,Helianthus,annuus,NA,NA,NA,NA,NA,NA,Helianthus_annuus,2,-3.05,-1.87,-4.288511880957813,42.25,0.9617139328642793,1.9558596087300566,2.746769829545629e-4,125.1527486438812
1627,Hypericum balearicum,Hypericum,balearicum,NA,39.4666666666667,2.51666666666667,100,17.75,562.21,Hypericum_balearicum,2,-2.5085520762481957,-0.7653238664204987,-4.324284787298466,21.142636332180274,1.5650630484848413,0.0029646075069293823,0.0010316836393804668,64.08478457982343
1626,Limonium gibertii,Limonium,gibertii,NA,39.4666666666667,2.51666666666667,100,17.75,562.21,Limonium_gibertii,6.462635650793655,-1.7855846592347069,-0.5599009691832089,-4.181623673900363,20.883979257918345,2.3691050624905454,1.2085039966908029,6.897051023222658e-4,70.02948587922462
1625,Limonium magallufianum,Limonium,magallufianum,NA,39.4666666666667,2.51666666666667,100,17.75,562.21,Limonium_magallufianum,6.462635650793655,-1.7855846592347069,-0.5599009691832089,-4.181623673900363,20.883979257918345,2.3691050624905454,1.2085039966908029,6.897051023222658e-4,70.02948587922462
1633,Lysimachia minoricensis,Lysimachia,minoricensis,NA,39.4666666666667,2.51666666666667,100,17.75,562.21,Lysimachia_minoricensis,0.8,-1.8789704042290858,-0.5866205957346649,-3.06776337017371,28.956568807791204,2.500965656553185,0.004829849719537681,0.0017084158951812037,94.9394498762656
1629,Malva subovata,Malva,subovata,NA,39.4666666666667,2.51666666666667,100,17.75,562.21,Malva_subovata,2,-1.5103075582305898,-0.6851863480116183,-2.1609363558867085,68.28385309123425,4.698246759673648,0.013359600583169224,2.3928033648833424e-4,102.0026568889933
1634,Olea europaea var. meski,Olea,europaea,1.35,33.891835,10.101385,30,19.5,218,Olea_europaea,15,-7.2,-3.8,-11.36666667,9.12,1.7797787153600684,0.0027845627867474514,5.669613015955576e-4,35
1635,Olea europaea var. chemlali,Olea,europaea,1.35,33.891835,10.101385,30,19.5,218,Olea_europaea,15,-7,-2.58,-12,7.6,1.7514023470622357,0.0027846786595236415,5.664325000118733e-4,33.4
1628,Phlomis italica,Phlomis,italica,NA,39.4666666666667,2.51666666666667,100,17.75,562.21,Phlomis_italica,1,-4.36687441881672,-2.0730878023783563,-7.26062031356701,15.523392020986075,1.4827635585850847,1.2055555316055981,5.903095221842828e-4,83.08729355394698
1609,Picea abies,Picea,abies,0.57,60.23,25.02,20,5.6,603,Picea_abies,48.202823087156,-3.61,-2.8,-4.384726863080202,46.6,0.6509363975796807,1.9399453830421686e-4,8.052841925306337e-4,47.54527097853445
1608,Pinus sylvestris,Pinus,sylvestris,0.75,60.23,25.02,20,5.6,603,Pinus_sylvestris,35.43246213031385,-3.09,-2.62,-3.8661717506846003,69.3,0.7042911108024872,3.183545414942762e-4,6.202883454671005e-4,53.57529237935701
1623,Pistacia lentiscus,Pistacia,lentiscus,NA,39.4666666666667,2.51666666666667,100,17.75,562.21,Pistacia_lentiscus,5,-6.41,-5.62,-7.363300595263198,48.4,0.9850499569638661,0.01084500540084788,5.236339111233284e-4,62.48593649440056
1617,Platycarya longipes,Platycarya,longipes,NA,26.4333333333333,106.683333333333,1147,15.605,1081.44,Platycarya_longipes,15,-1.25167100212903,-0.8157349049395536,-3.16693552054019,54.05039570470894,4.0707019789484695,6.886488795189245e-4,3.1047778874937774e-4,85.25340064112241
1611,Populus tremula,Populus,tremula,0.98,60.23,25.02,20,5.6,603,Populus_tremula,24.909162857142856,-2.6,-1.77,-3.325698948581409,60,2.688226364801731,4.133830770404746e-4,0.0025559699971588385,74.81220040948831
1601,Pseudotsuga macrocarpa,Pseudotsuga,macrocarpa,0.25,34.3333333333333,-116.166666666667,1315,20.65,76.5,Pseudotsuga_macrocarpa,70.76314015204868,-3.798145424182211,-2.57739976787248,-5.024157574758023,45.44823443254283,0.479721653205386,1.3464687888274944e-4,5.900876069133271e-4,45.78871345841443
1600,Pseudotsuga menziesii,Pseudotsuga,menziesii,0.25,46.5833333333333,-121.833333333333,300,6.25,2238,Pseudotsuga_menziesii,73.43897873651976,-4.82,-2.7,-5.864535474833689,34,0.5888512459166005,1.3435492761779212e-4,5.53749731975469e-4,39.6721782815748
1618,Pteroceltis tatarinowii,Pteroceltis,tatarinowii,NA,26.4333333333333,106.683333333333,1147,15.605,1081.44,Pteroceltis_tatarinowii,20,-0.926065038985084,-0.36434257063969877,-1.68434081164453,55.522569672700335,5.051083461458653,5.291760735541761e-4,1.3395817944095254e-4,115.84355330141213
1619,Pyracantha fortuneana,Pyracantha,fortuneana,NA,26.4333333333333,106.683333333333,1147,15.605,1081.44,Pyracantha_fortuneana,3,-6.206191079146101,-4.489689391081512,-7.403826132120198,30.576660588754166,4.028623028205429,0.38939964507729485,3.023918874833325e-4,143.0490386630879
1605,Quercus coccifera,Quercus,coccifera,NA,41.8166666666667,-0.5,620,13.36,463.3,Quercus_coccifera,20.699614285714286,-5.989449759650126,-3.29946548117192,-6.721679579363778,34.3066406280531,1.4408299630719537,5.788841745499935e-4,2.797497183575417e-4,77.91623234145464
1606,Quercus ilex,Quercus,ilex,NA,40.3166666666667,-2.25,950,11.85,812.18,Quercus_ilex,18.467308523809525,-6.88,-4.3,-8.002670963594012,20.4,1.442037335640876,0.0012730499110666538,3.563547695551612e-4,61.96346325625858
1614,Quercus ilex,Quercus,ilex,NA,44.18,5.25,1200,6.476,1104.6,Quercus_ilex,18.467308523809525,-6.88,-4.3,-8.002670963594012,20.4,1.442037335640876,0.0012730499110666538,3.563547695551612e-4,61.96346325625858
1612,Quercus petraea,Quercus,petraea,NA,48.77,6.33,240,10.28,723.34,Quercus_petraea,35.843457666666666,-3.3,-2.5,-4.3045955625684575,27.1,3.2649601334137244,0.1170701732417833,4.243272225550943e-4,78.5408369206435
1613,Quercus pubescens,Quercus,pubescens,NA,44.18,5.25,1200,6.476,1104.6,Quercus_pubescens,23.47127580952381,-4.81,-4.08,-5.779101419001454,82.4,2.505312371743806,8.75855458982528e-4,2.772557744111783e-4,79.119991723937
1607,Quercus suber,Quercus,suber,NA,39.55,-4.73333333333333,600,12.757,785.5,Quercus_suber,23.027683095238096,-5.2,-3.7,-5.799684210162923,63.3,2.5094040364590984,0.009894119155063595,1.98319697746668e-4,105.26090291282279
1620,Rosa cymosa,Rosa,cymosa,NA,26.4333333333333,106.683333333333,1147,15.605,1081.44,Rosa_cymosa,5,-2.1537391791516427,-0.6912720036093633,-4.183645520667673,30.83070811249591,4.519021274058996,0.015063642993355426,2.899755477452388e-4,94.80029633493824
1636,Sequoia sempervirens,Sequoia,sempervirens,1.6,38.4,-122.98333,NA,13.45,1346.79,Sequoia_sempervirens,106.37598575396827,-5.662741441367853,-3.2634894814867064,-7.352712184491806,21.304432211099112,1.439991390173014,1.408549289399988e-4,5.634722124604244e-4,35.07662025707925
