taxon,P88..MPa.,P50..MPa.,P12..MPa.,Height.max..m.,SLA..cm2.g.1.,Huber.value,KL..kg.m.1.MPa.1.s.1.,Ks..kg.m.1.MPa.1.s.1.
Archidendropsis_basaltica,-4.719494515888834,-3.285989690289981,-1.681360063537273,10,57.94892463,1.45459e-4,7.56813e-4,4.26
Arctostaphylos_glandulosa,-12.853657960000001,-4.724790055,-1.1115850139999999,6.616834,41.292024409999996,2.33035e-4,0.9315389310000001,1.0275
Arctostaphylos_glauca,-10.92117712522153,-4.67,-1.8168571294724918,4.714110666666661,42.56152735152992,0.02239777489916696,0.39218331121433486,1.03
Ardisia_palmana,-2.2637920876019653,-1.1367573449565018,-0.5164341347506679,5,120.83972144874146,0.00208,6.2e-4,0.23
Aristolochia_taliscana,-3.292197516530741,-2.2702124956712155,-1.2270009662290235,12.290866666666664,66.79328185396152,0.02639553848992088,9.871718677044359e-4,45
Artemisia_californica,-3.604716699,-1.827802525,-0.654594544,5.598109999999975,200.1,6.353063621666664e-4,0.143195772,1.21
Artemisia_tridentata,-5.6267233333333335,-3.9333333333333336,-2.0006933333333334,3,128.94562238847638,2.212735e-4,0.7988174258561658,0.708
Ascarina_lucida,-2.82,-1.869,-1.265,13.029566666666668,88.42563621032191,0.0063524990362805464,2.0657578766666789e-4,2.0929809480620842
Aspalathus_hirta,-6.443552012,-3.091809455,-1.018618798,6.052189999999997,78.10272019319433,4.086691897142832e-4,8.626105588333421e-4,0.6978498445
Aspalathus_pachyloba,-6.811122458,-4.124834259,-1.932284056,4.7323873333333335,52.985102911169314,0.005594964987499986,0.2087179904423343,0.8854933135
Aspidosperma_desmanthum,-4.368304938275942,-2.9921911979403015,-1.1301992535971759,10.668266666666666,105.46118539988097,5.222955839999983e-4,2.844e-4,5.116173593770817
Aspidosperma_tomentosum,-5.558781729002057,-3.2049715900361964,-1.5231912653451116,4.942066666666667,71.03999999999999,2.8639563291666883e-4,7.406666666666667e-4,3.043333333333333
Atherosperma_moschatum,-3.997598174,-3.312666667,-2.62773516,40,64.59979442153372,0.12959644450714614,6.694993327716312e-4,0.6895832433864946
Athrotaxis_laxifolia,-5.14,-3.49,-1.71,20,40.81501339547483,0.024657129876809437,1.05908e-4,0.27
Athrotaxis_selaginoides,-7.02,-5.1,-3.69,60.28916666666681,37.415634700624096,0.028706735185347127,1.5073464669047732e-4,0.904699655165332
Atriplex_canescens,-3.988655171,-1.9879622683333333,-0.7319152855,4.76388333333333,49.2,0.0032715739115000324,0.08566961,0.17
Atriplex_confertifolia,-4.7935,-2.19875,-1,4.54650333333333,57.659760967918956,0.001316951449000009,0.1468639812909988,1.023154756666831
Atriplex_polycarpa,-3.439454074,-1.811887156,-0.687462105,5.245483333333327,46.2,0.002668479500333354,0.06356285374866602,0.36
Austrobaileya_scandens,-2.5373425772811085,-1.4527275688479662,-0.606944986965236,12.962,85.31829571534205,6.5e-5,1.8e-4,2.3
Austrocedrus_chilensis,-6.5325,-4.085,-1.74875,43.686586363636415,44.047211472005266,0.01839899934100188,1.59826e-4,5.1225
Avicennia_germinans,-4.718035344065992,-2.3690627526513586,-0.7505466536335275,9.893233333333336,115.10235505774394,0.021515185107499907,0.0079539149098,3.9745464547456524
Azadirachta_indica,-3.4856144690117454,-2.1595308462228333,-0.8623082046676657,18.091509999999982,79.86071262931173,0.007377517041500022,2.820706729999971e-4,4.380915296987537
Baccharis_salicina,-3.71,-2.68,-0.857,7.7149833333333016,115.0465820161418,7.386952633333339e-4,1.5439300683919857,0.65
Baccharis_sarothroides,-7.04,-4.47,-2.0175531092811765,2.3082333333333294,80.51610454210069,5.73346832000002e-4,1.5657613693373191,0.6241766806444918
Banksia_attenuata,-4.583333333333333,-2.2666666666666666,-0.4666666666666667,4,47.22371241856462,8e-4,6.485e-4,0.835
Banksia_ericifolia,-4.121422596264504,-2.2004156571507956,-0.5880554388848289,5,49.35986422,1.62965e-4,0.0015504358003000092,1.7303380191538829
Banksia_ilicifolia,-4.5,-2.0366666666666666,-0.01,4,45.28333526559193,7.455000000000001e-4,6.954999999999999e-4,1.0899999999999999
Banksia_littoralis,-3.4,-1.78,-0.01,4,53.96872908247688,5.95e-4,2.9e-4,1.07
Banksia_marginata,-4.84056417633115,-3.5436527164474283,-1.4937307162273223,6,68.820143885,2.311485e-4,6.3385e-4,2.715
Banksia_menziesii,-4.233333333333333,-2.3066666666666666,-0.45333333333333337,4,44.57698670749353,7.475e-4,0.0010010000000000002,1.25
Banksia_serrata,-4.280923914545116,-2.2344063182542615,-0.5000421505881283,8,38.15431024,4.49957e-4,1.4163e-4,1.78
Banksia_sphaerocarpa,-5.3,-3.7,-1.52,1,26.63,2.4145e-4,1.24359e-4,0.515051082
Banksia_spinulosa,-4.121422596264504,-2.2004156571507956,-0.5880554388848289,2.5,43.11565976,2.78952e-4,5.76329e-4,2.21
Barringtonia_racemosa,-1.8,-1.36,-0.8,12,107.87255289049972,6.12e-5,2.1e-4,3.27869
Beaufortia_micrantha,-5.276059974887615,-2.653488412662439,-0.5462010788389269,0.7,17.153,3.56821e-4,2.29359e-4,0.642783857
Berberis_microphylla,-3.6881788851084427,-1.951469506269455,-0.9606087819813305,4.938139999999995,30.12,0.001754,8.9e-5,0.067
Betula_nigra,-2.53732,-2.05715,-0.359002,21.0595,59.27591701601267,0.4559993793569965,4.282885454819025e-4,3.1588568085617137
Betula_occidentalis,-1.926090909090909,-1.3344626666666666,-0.6347777777777778,15,73.24425903845408,0.2919868303145688,3.5580500180910446e-4,1.82114
Betula_papyrifera,-2.516,-1.9665000000000001,-1.302,14.310690666666694,74.42347138982895,2.09581e-4,1.6947e-4,1.5378150000000002
Betula_pendula,-2.825,-2.3,-1.5499999999999998,25,60.55605453353328,0.3727677601647881,3.015867552000023e-4,3.6971878870311796
Beyeria_opaca,-3.4856922720252164,-2.1769070409815514,-0.9121958695000312,0.7,59.29175646,5.45611e-4,0.12184990836933288,0.26
Bischofia_javanica,-2.4,-1.27,-0.1,8.292166666666668,92.38418578148361,0.0410391307777159,4.5e-4,6.16
Blepharocalyx_salicifolius,-3.98,-1.904,-0.2866666666666667,18.599800000000002,132.25,2.445675e-4,7.2125e-4,7.086
Bossiaea_cinerea,-5.242635872726764,-3.656586773740122,-2.5340836709245584,1.1,91.95240179,2.19904e-4,1.85863e-4,0.82
Bossiaea_walkeri,-5.231499924126822,-2.9343797496309723,-1.9603836960770882,2,28.39685779,3.39406e-4,5.93e-5,0.15
Bourreria_cumanensis,-5.9759678684879525,-3.82,-1.15,3.0435666666666648,112.48471900975005,2.94e-4,9.95e-5,0.41
Brabejum_stellatifolium,-3.6016666666666666,-2.4266666666666667,-1.0233333333333334,15,68.11393798783563,0.02663454760084504,7.245989907940676e-4,3.4857516381425038
Brachychiton_australis,-5.15,-3.17,-1.2,20,134.4,3.19e-4,0.002019,6.46
Brachychiton_populneus,-3.5154758676305597,-2.18892315577105,-1.015173429895126,7,97.92608151,1.85909e-4,5.25262e-4,2.51
