Species,scheme,dpsi,inst,source,genus,species,subsp,ID
Cistus albidus,SOX2,FALSE,TRUE,Galmes et al. (2007),Cistus,albidus,NA,1624
Diplotaxis ibicensis,SOX2,FALSE,TRUE,Galmes et al. (2007),Diplotaxis,ibicensis,NA,1630
Hypericum balearicum,SOX2,FALSE,TRUE,Galmes et al. (2007),Hypericum,balearicum,NA,1627
Limonium gibertii,SOX2,FALSE,TRUE,Galmes et al. (2007),Limonium,gibertii,NA,1626
Limonium magallufianum,SOX2,FALSE,TRUE,Galmes et al. (2007),Limonium,magallufianum,NA,1625
Malva subovata,SOX2,FALSE,TRUE,Galmes et al. (2007),Malva,subovata,NA,1629
Phlomis italica,SOX2,FALSE,TRUE,Galmes et al. (2007),Phlomis,italica,NA,1628
Picea abies,SOX2,FALSE,TRUE,Salmon et al. (2020),Picea,abies,NA,1609
Pistacia lentiscus,SOX2,FALSE,TRUE,Galmes et al. (2007),Pistacia,lentiscus,NA,1623
Populus tremula,SOX2,FALSE,TRUE,Salmon et al. (2020),Populus,tremula,NA,1611
