Species,scheme,dpsi,inst,source,genus,species,subsp,ID
Beta maritima subsp. marcosii,PHYDRO,FALSE,TRUE,Galmes et al. (2007),Beta,maritima,marcosii,1631
Beta maritima subsp. maritima,PHYDRO,FALSE,TRUE,Galmes et al. (2007),Beta,maritima,maritima,1632
Betula pendula,PHYDRO,FALSE,TRUE,Salmon et al. (2020),Betula,pendula,NA,1610
Broussonetia papyrifera,PHYDRO,FALSE,FALSE,Liu et al. (2010),Broussonetia,papyrifera,NA,1615
Cedrus atlantica,PHYDRO,FALSE,TRUE,Grieu et al. (1988),Cedrus,atlantica,NA,1599
Cinnamomum bodinieri,PHYDRO,FALSE,FALSE,Liu et al. (2010),Cinnamomum,bodinieri,NA,1616
Cistus albidus,PHYDRO,FALSE,TRUE,Galmes et al. (2007),Cistus,albidus,NA,1624
Diplotaxis ibicensis,PHYDRO,FALSE,TRUE,Galmes et al. (2007),Diplotaxis,ibicensis,NA,1630
Eucalyptus pilularis,PHYDRO,FALSE,TRUE,Kelly et al. (2016),Eucalyptus,pilularis,NA,1602
Eucalyptus populnea,PHYDRO,FALSE,TRUE,Kelly et al. (2016),Eucalyptus,populnea,NA,1603
Ficus tikoua,PHYDRO,FALSE,FALSE,Liu et al. (2011),Ficus,tikoua,NA,1621
Glycine max,PHYDRO,FALSE,TRUE,Liu et al. (2005),Glycine,max,NA,1604
Helianthus annuus,PHYDRO,FALSE,TRUE,Tezara et al. (2008),Helianthus,annuus,NA,1622
Hypericum balearicum,PHYDRO,FALSE,TRUE,Galmes et al. (2007),Hypericum,balearicum,NA,1627
Limonium gibertii,PHYDRO,FALSE,TRUE,Galmes et al. (2007),Limonium,gibertii,NA,1626
Limonium magallufianum,PHYDRO,FALSE,TRUE,Galmes et al. (2007),Limonium,magallufianum,NA,1625
Lysimachia minoricensis,PHYDRO,FALSE,TRUE,Galmes et al. (2007),Lysimachia,minoricensis,NA,1633
Malva subovata,PHYDRO,FALSE,TRUE,Galmes et al. (2007),Malva,subovata,NA,1629
